Epoch , PRN , SvX , SvY , SvZ , Dtsv , Elevation , Atmospheric Correction , CN0, R , WlsX , WlsY , WlsZ, Wlsdtu , GTX, GTY, GTZ, Pseudorange Error Uncertainty, Pseudorange Error, DeltaDtu, Hat_DeltaDtu, Pseudorange Rate, WlsLon Degree, WlsLon Minute, WlsLon Second, WlsLat Degree, WlsLat Minute, WlsLat Second, Unit Geometry Matrix N, Unit Geometry Matrix E, Unit Geometry Vector D, Pseudorange Error plus DeltaDtu, Azimuth, Pseudorange Residuals, Smoothed Pseudorange Residuals, Heading of Smartphone N, Heading of Smartphone E, Heading of Smartphone D, Item of h, GtLon Degree, GtLon Minute, GtLon Second, GtLat Degree, GtLat Minute, GtLat Second, EkfLon Degree, EkfLon Minute, EkfLon Second, EkfLat Degree, EkfLat Minute, EkfLat Second, normGtLon, normGtLat, normEkfLon, normEkfLat
700 , 1 , 14080789.755415 , -3889447.562837 , 21915548.628574 , 210752.268180, 0.147824 , 22.712139 , 26.200000 , 24439427.006675, -2682386.357599, -4311683.839763, 3846577.158014, -752.554305, -2682352.493195, -4311619.987358, 3846530.880534, 9.293566, -34.006588, 31.907527, 31.907017, 549.417175, -121.000000, -53.000000, -11.705217, 37.000000, 19.000000, 45.899388, -0.809493, -0.568355, 0.147286, -65.914043, 0.612142, -6.337973, -6.547978, 0.576702, -0.557495, -0.597172, 0.236972, -121.000000, -53.000000, -11.907312, 37.000000, 19.000000, 46.124058, -121.000000, -53.000000, -11.861059, 37.000000, 19.000000, 46.197433, 0.698140, 0.298594, 0.698724, 0.299952
700 , 2 , -13495626.084765 , -19537482.698538 , -11195489.598908 , -179883.175222, 0.240021 , 18.469726 , 29.900000 , 24158586.814567, -2682386.357599, -4311683.839763, 3846577.158014, -752.554305, -2682352.493195, -4311619.987358, 3846530.880534, 6.295642, -24.966485, 31.907527, 31.907017, -658.920410, -121.000000, -53.000000, -11.705217, 37.000000, 19.000000, 45.899388, 0.970172, 0.047482, 0.237723, -56.873957, -3.092689, -3.980801, -5.489724, 0.576702, -0.557495, -0.597172, 0.180644, -121.000000, -53.000000, -11.907312, 37.000000, 19.000000, 46.124058, -121.000000, -53.000000, -11.861059, 37.000000, 19.000000, 46.197433, 0.698140, 0.298594, 0.698724, 0.299952
700 , 6 , -6103513.192008 , -25770890.011697 , -1476539.476824 , 3364.148896, 0.603529 , 9.641337 , 36.600000 , 22368574.627470, -2682386.357599, -4311683.839763, 3846577.158014, -752.554305, -2682352.493195, -4311619.987358, 3846530.880534, 3.297717, -30.725992, 31.907527, 31.907017, -566.030151, -121.000000, -53.000000, -11.705217, 37.000000, 19.000000, 45.899388, 0.732040, -0.376832, 0.567552, -62.633480, 2.666200, -13.645629, -16.386993, 0.576702, -0.557495, -0.597172, 0.127177, -121.000000, -53.000000, -11.907312, 37.000000, 19.000000, 46.124058, -121.000000, -53.000000, -11.861059, 37.000000, 19.000000, 46.197433, 0.698140, 0.298594, 0.698724, 0.299952
700 , 12 , -22655297.134932 , 7728978.773094 , 11097385.160214 , -10308.831648, 0.191847 , 19.276335 , 29.100000 , 24432486.496673, -2682386.357599, -4311683.839763, 3846577.158014, -752.554305, -2682352.493195, -4311619.987358, 3846530.880534, 7.195019, 219.334088, 31.907527, 31.907017, -535.705261, -121.000000, -53.000000, -11.705217, 37.000000, 19.000000, 45.899388, -0.227960, 0.954819, 0.190672, 187.426621, -1.336437, -4.425010, -4.769797, 0.576702, -0.557495, -0.597172, 0.198622, -121.000000, -53.000000, -11.907312, 37.000000, 19.000000, 46.124058, -121.000000, -53.000000, -11.861059, 37.000000, 19.000000, 46.197433, 0.698140, 0.298594, 0.698724, 0.299952
700 , 13 , -22778932.757415 , -13504767.336466 , -2967181.063016 , 37749.846858, 0.472081 , 11.314922 , 30.400000 , 23087490.425481, -2682386.357599, -4311683.839763, 3846577.158014, -752.554305, -2682352.493195, -4311619.987358, 3846530.880534, 5.696057, -14.491930, 31.907527, 31.907017, 580.320312, -121.000000, -53.000000, -11.705217, 37.000000, 19.000000, 45.899388, 0.717325, 0.527880, 0.454740, -46.399451, -2.507176, -9.692590, -11.755363, 0.576702, -0.557495, -0.597172, 0.020553, -121.000000, -53.000000, -11.907312, 37.000000, 19.000000, 46.124058, -121.000000, -53.000000, -11.861059, 37.000000, 19.000000, 46.197433, 0.698140, 0.298594, 0.698724, 0.299952
700 , 14 , 8267935.115899 , -20231385.798406 , 15065365.106240 , 27492.046786, 0.618348 , 9.182647 , 27.800000 , 22314738.192912, -2682386.357599, -4311683.839763, 3846577.158014, -752.554305, -2682352.493195, -4311619.987358, 3846530.880534, 8.094396, -1.968604, 31.907527, 31.907017, 387.982941, -121.000000, -53.000000, -11.705217, 37.000000, 19.000000, 45.899388, -0.189389, -0.792522, 0.579690, -33.876098, 1.336225, -16.521413, -18.842578, 0.576702, -0.557495, -0.597172, 0.108772, -121.000000, -53.000000, -11.907312, 37.000000, 19.000000, 46.124058, -121.000000, -53.000000, -11.861059, 37.000000, 19.000000, 46.197433, 0.698140, 0.298594, 0.698724, 0.299952
700 , 15 , -26265333.998011 , -2579069.100727 , 3996937.536199 , -45813.428499, 0.382547 , 12.706550 , 32.200000 , 23692035.699053, -2682386.357599, -4311683.839763, 3846577.158014, -752.554305, -2682352.493195, -4311619.987358, 3846530.880534, 4.796679, -22.094500, 31.907527, 31.907017, 404.851227, -121.000000, -53.000000, -11.705217, 37.000000, 19.000000, 45.899388, 0.276673, 0.885500, 0.373285, -54.001982, -1.873634, -8.147684, -9.528914, 0.576702, -0.557495, -0.597172, 0.147760, -121.000000, -53.000000, -11.907312, 37.000000, 19.000000, 46.124058, -121.000000, -53.000000, -11.861059, 37.000000, 19.000000, 46.197433, 0.698140, 0.298594, 0.698724, 0.299952
700 , 17 , -1343243.755541 , -16068110.471970 , 21531365.771527 , 130238.639957, 1.017117 , 6.364195 , 39.400000 , 21147147.003236, -2682386.357599, -4311683.839763, 3846577.158014, -752.554305, -2682352.493195, -4311619.987358, 3846530.880534, 2.398340, -33.218635, 31.907527, 31.907017, 359.018799, -121.000000, -53.000000, -11.705217, 37.000000, 19.000000, 45.899388, -0.396557, -0.345297, 0.850596, -65.126208, 0.716411, -23.579742, -26.699504, 0.576702, -0.557495, -0.597172, -0.149225, -121.000000, -53.000000, -11.907312, 37.000000, 19.000000, 46.124058, -121.000000, -53.000000, -11.861059, 37.000000, 19.000000, 46.197433, 0.698140, 0.298594, 0.698724, 0.299952
700 , 19 , -10621731.047393 , -17336262.284791 , 16862322.488500 , -1929.907221, 1.515462 , 5.551322 , 37.100000 , 20053199.815772, -2682386.357599, -4311683.839763, 3846577.158014, -752.554305, -2682352.493195, -4311619.987358, 3846530.880534, 3.297717, -30.124933, 31.907527, 31.907017, 9.763313, -121.000000, -53.000000, -11.705217, 37.000000, 19.000000, 45.899388, -0.054871, -0.006924, 0.998469, -62.032680, 0.125521, -26.296464, -30.111386, 0.576702, -0.557495, -0.597172, -0.712620, -121.000000, -53.000000, -11.907312, 37.000000, 19.000000, 46.124058, -121.000000, -53.000000, -11.861059, 37.000000, 19.000000, 46.197433, 0.698140, 0.298594, 0.698724, 0.299952
700 , 24 , -16274772.326995 , -1553896.820980 , 20745393.434609 , 13505.699487, 0.700664 , 8.052809 , 41.700000 , 21847308.389133, -2682386.357599, -4311683.839763, 3846577.158014, -752.554305, -2682352.493195, -4311619.987358, 3846530.880534, 1.798755, -30.430974, 31.907527, 31.907017, -440.563995, -121.000000, -53.000000, -11.705217, 37.000000, 19.000000, 45.899388, -0.480446, 0.594559, 0.644725, -62.338402, -0.891154, -17.304619, -19.334942, 0.576702, -0.557495, -0.597172, 0.323883, -121.000000, -53.000000, -11.907312, 37.000000, 19.000000, 46.124058, -121.000000, -53.000000, -11.861059, 37.000000, 19.000000, 46.197433, 0.698140, 0.298594, 0.698724, 0.299952
