Epoch , PRN , SvX , SvY , SvZ , Dtsv , Elevation , Atmospheric Correction , CN0, R , WlsX , WlsY , WlsZ, Wlsdtu , GTX, GTY, GTZ, Pseudorange Error Uncertainty, Pseudorange Error, DeltaDtu, Hat_DeltaDtu, Pseudorange Rate, WlsLon Degree, WlsLon Minute, WlsLon Second, WlsLat Degree, WlsLat Minute, WlsLat Second, Unit Geometry Matrix N, Unit Geometry Matrix E, Unit Geometry Vector D, Pseudorange Error plus DeltaDtu, Azimuth, Pseudorange Residuals, Smoothed Pseudorange Residuals, Heading of Smartphone N, Heading of Smartphone E, Heading of Smartphone D, Item of h, GtLon Degree, GtLon Minute, GtLon Second, GtLat Degree, GtLat Minute, GtLat Second, EkfLon Degree, EkfLon Minute, EkfLon Second, EkfLat Degree, EkfLat Minute, EkfLat Second, normGtLon, normGtLat, normEkfLon, normEkfLat
1160 , 2 , -12471366.209006 , -22331777.095865 , 7711050.959528 , -179289.006974, 1.102519 , 6.890613 , 31.900000 , 21047486.052590, -2682381.092340, -4311605.248363, 3846557.182485, -98.548969, -2682360.902323, -4311605.350310, 3846541.022873, 5.096472, -2.927036, 1.343842, 1.343833, -250.592239, -121.000000, -53.000000, -13.209962, 37.000000, 19.000000, 46.751463, 0.447626, -0.057855, 0.892347, -4.270876, 3.013057, 19.559992, 5.434377, 0.813179, -0.357980, -0.458901, 0.647340, -121.000000, -53.000000, -12.511416, 37.000000, 19.000000, 46.542744, -121.000000, -53.000000, -13.173553, 37.000000, 19.000000, 46.531332, 0.690512, 0.306347, 0.682152, 0.306136
1160 , 6 , -1946178.852404 , -20776800.473627 , 16457301.036779 , 2794.142664, 1.095730 , 6.803924 , 41.900000 , 20749835.315375, -2682381.092340, -4311605.248363, 3846557.182485, -98.548969, -2682360.902323, -4311605.350310, 3846541.022873, 1.798755, -9.383781, 1.343842, 1.343833, 111.182854, -121.000000, -53.000000, -13.209962, 37.000000, 19.000000, 46.751463, -0.086043, -0.449231, 0.889263, -10.727624, 1.381554, 26.062541, 16.597727, 0.813179, -0.357980, -0.458901, -1.052337, -121.000000, -53.000000, -12.511416, 37.000000, 19.000000, 46.542744, -121.000000, -53.000000, -13.173553, 37.000000, 19.000000, 46.531332, 0.690512, 0.306347, 0.682152, 0.306136
1160 , 12 , -14516117.253874 , -3903535.388599 , 21632454.505309 , -9396.881619, 0.810323 , 8.132141 , 38.800000 , 21376149.124820, -2682381.092340, -4311605.248363, 3846557.182485, -98.548969, -2682360.902323, -4311605.350310, 3846541.022873, 2.698132, -23.545825, 1.343842, 1.343833, -423.726807, -121.000000, -53.000000, -13.209962, 37.000000, 19.000000, 46.751463, -0.494320, 0.480346, 0.724510, -24.889667, -0.771062, 7.587151, -1.483537, 0.813179, -0.357980, -0.458901, 0.035077, -121.000000, -53.000000, -12.511416, 37.000000, 19.000000, 46.542744, -121.000000, -53.000000, -13.173553, 37.000000, 19.000000, 46.531332, 0.690512, 0.306347, 0.682152, 0.306136
1160 , 17 , 14321060.277445 , -13241145.792314 , 18454141.940879 , 129135.051668, 0.326752 , 15.033709 , 30.800000 , 24000333.843674, -2682381.092340, -4311605.248363, 3846557.182485, -98.548969, -2682360.902323, -4311605.350310, 3846541.022873, 5.696057, 6.951785, 1.343842, 1.343833, 499.254486, -121.000000, -53.000000, -13.209962, 37.000000, 19.000000, 46.751463, -0.516558, -0.793818, 0.320968, 5.607944, 0.993911, 19.874487, 21.859026, 0.813179, -0.357980, -0.458901, 0.519767, -121.000000, -53.000000, -12.511416, 37.000000, 19.000000, 46.542744, -121.000000, -53.000000, -13.173553, 37.000000, 19.000000, 46.531332, 0.690512, 0.306347, 0.682152, 0.306136
1160 , 19 , 5439982.648173 , -14389686.176100 , 21350432.727875 , -2830.055692, 0.698947 , 8.998932 , 24.200000 , 21772638.732923, -2682381.092340, -4311605.248363, 3846557.182485, -98.548969, -2682360.902323, -4311605.350310, 3846541.022873, 11.991698, 48.797531, 1.343842, 1.343833, 461.785645, -121.000000, -53.000000, -13.209962, 37.000000, 19.000000, 46.751463, -0.520495, -0.561342, 0.643412, 47.453690, 0.823137, 22.870357, 19.555233, 0.813179, -0.357980, -0.458901, -0.018122, -121.000000, -53.000000, -12.511416, 37.000000, 19.000000, 46.542744, -121.000000, -53.000000, -13.173553, 37.000000, 19.000000, 46.531332, 0.690512, 0.306347, 0.682152, 0.306136
1160 , 25 , -17214189.199471 , 10422956.939102 , 16927720.704233 , 37060.959269, 0.167766 , 22.899457 , 26.700000 , 24445456.091804, -2682381.092340, -4311605.248363, 3846557.182485, -98.548969, -2682360.902323, -4311605.350310, 3846541.022873, 9.293566, -24.716123, 1.343842, 1.343833, -628.010864, -121.000000, -53.000000, -13.209962, 37.000000, 19.000000, 46.751463, -0.544604, 0.821902, 0.166981, -26.059964, -0.985604, -9.692796, -12.519929, 0.813179, -0.357980, -0.458901, 0.430860, -121.000000, -53.000000, -12.511416, 37.000000, 19.000000, 46.542744, -121.000000, -53.000000, -13.173553, 37.000000, 19.000000, 46.531332, 0.690512, 0.306347, 0.682152, 0.306136
1160 , 28 , 11651224.116951 , -23967512.343168 , 1618042.146558 , 174696.876940, 0.243882 , 19.282163 , 25.700000 , 24254155.811305, -2682381.092340, -4311605.248363, 3846557.182485, -98.548969, -2682360.902323, -4311605.350310, 3846541.022873, 10.492736, 4.823447, 1.343842, 1.343833, 459.321350, -121.000000, -53.000000, -13.209962, 37.000000, 19.000000, 46.751463, 0.298874, -0.923237, 0.241472, 3.479606, 1.883874, 20.024672, 19.175581, 0.813179, -0.357980, -0.458901, 0.437415, -121.000000, -53.000000, -12.511416, 37.000000, 19.000000, 46.542744, -121.000000, -53.000000, -13.173553, 37.000000, 19.000000, 46.531332, 0.690512, 0.306347, 0.682152, 0.306136
1161 , 2 , -12470589.122468 , -22331270.917557 , 7714031.687668 , -179289.007382, 1.102661 , 6.887734 , 33.400000 , 21047234.420450, -2682390.562204, -4311607.096933, 3846575.775463, -89.570878, -2682364.281655, -4311598.452724, 3846546.378350, 4.197094, -12.499672, 6.363336, 6.363291, -249.835312, -121.000000, -53.000000, -13.496913, 37.000000, 19.000000, 47.101753, 0.447496, -0.057876, 0.892411, -18.863002, 3.012973, 15.760396, -1.819729, 0.842582, -0.480262, -0.243730, 0.281350, -121.000000, -53.000000, -12.775974, 37.000000, 19.000000, 46.760964, -121.000000, -53.000000, -13.420288, 37.000000, 19.000000, 46.978901, 0.687172, 0.310388, 0.679037, 0.314424
1161 , 6 , -1944816.554246 , -20775228.047747 , 16459460.668354 , 2794.143642, 1.095684 , 6.801660 , 39.400000 , 20749944.030231, -2682390.562204, -4311607.096933, 3846575.775463, -89.570878, -2682364.281655, -4311598.452724, 3846546.378350, 2.398340, -20.280804, 6.363336, 6.363291, 111.901260, -121.000000, -53.000000, -13.496913, 37.000000, 19.000000, 47.101753, -0.086184, -0.449246, 0.889241, -26.644152, 1.381258, 18.340576, -2.140415, 0.842582, -0.480262, -0.243730, -0.674413, -121.000000, -53.000000, -12.775974, 37.000000, 19.000000, 46.760964, -121.000000, -53.000000, -13.420288, 37.000000, 19.000000, 46.978901, 0.687172, 0.310388, 0.679037, 0.314424
1161 , 12 , -14514876.134107 , -3906051.272739 , 21632842.966024 , -9396.883983, 0.810442 , 8.128411 , 40.300000 , 21375726.009390, -2682390.562204, -4311607.096933, 3846575.775463, -89.570878, -2682364.281655, -4311598.452724, 3846546.378350, 2.098547, -32.272118, 6.363336, 6.363291, -423.778290, -121.000000, -53.000000, -13.496913, 37.000000, 19.000000, 47.101753, -0.494300, 0.480244, 0.724592, -38.635452, -0.770975, -1.328614, -25.221823, 0.842582, -0.480262, -0.243730, 0.099312, -121.000000, -53.000000, -12.775974, 37.000000, 19.000000, 46.760964, -121.000000, -53.000000, -13.420288, 37.000000, 19.000000, 46.978901, 0.687172, 0.310388, 0.679037, 0.314424
